Manufacturer,Model,Price,Transmission,Power,EngineCC,Fuel,Male,Female,Total
Audi,Cabriolet,43.9745,4.5,98,2309,petrol,"1,529",998,"2,652"
Nissan,Laurel,18.6532,4.6,74.8,2652.8,diesel,"2,136",353,"2,542"
Ford,Puma,30.3775,6.3125,94.0625,935.625,petrol,"1,382",919,"2,423"
Volkswagen,Santana,14.93453333,4.333333333,59.6,1655.066667,petrol,"1,891",442,"2,383"
Alfa-Romeo,155,23.90933333,5,100.6666667,2016.777778,petrol,"2,006",287,"2,374"
Volvo,V70,50.96109091,6.181818182,135.2909091,1971.163636,diesel,"1,761",421,"2,331"
Kia,Sportage,43.97,6.6,115.3,1634.2,diesel,"1,597",652,"2,316"
Opel,Ascona,15.11811765,4.588235294,61.76470588,1603.117647,petrol,"1,764",453,"2,271"
Porsche,928,110.0985,5,235,4957,petrol,"1,868",252,"2,203"
Peugeot,806,29.57028571,5,84,1997.142857,diesel,"1,529",512,"2,194"
Alfa-Romeo,Spider,55.2,6,163.5,2696.5,petrol,"1,537",495,"2,154"
Toyota,Paseo,15.764,5,66,1497,petrol,"1,016","1,015","2,114"
Lancia,Thema,50.143,5.818181818,155.5454545,2799.272727,petrol,"1,761",266,"2,091"
Daimler,3.6,71.602,4,149,3590,petrol,"1,781",222,"2,071"
Daihatsu,Applause,15.6985,4.5,73,1590,petrol,"1,421",546,"2,040"
Mitsubishi,Space,23.16515789,3.947368421,82.15789474,1817.315789,petrol,"1,317",604,"2,009"
Alfa-Romeo,145,17.42714286,5,87.71428571,1696.428571,petrol,"1,346",558,"2,005"
Ssangyong,Musso,38.79428571,4.428571429,98.57142857,2755.571429,diesel,"1,536",365,"1,987"
Alfa-Romeo,146,18.19842857,5,87.71428571,1696.428571,petrol,"1,390",480,"1,973"
Seat,Malaga,10.54685714,5,49.42857143,1418.428571,petrol,"1,301",588,"1,933"
Lancia,Dedra,21.76576923,5,81.69230769,1808.384615,petrol,"1,533",301,"1,896"
Seat,Alhambra,49.82277778,6,115.8333333,1746.944444,petrol,"1,368",395,"1,890"
Toyota,Picnic,25.29875,4.5,94,1998,petrol,"1,275",528,"1,884"
Fiat,Ulysse,36.70125,4.875,91.75,2019.75,petrol,"1,111",649,"1,849"
Honda,Shuttle,30.081,4,110,2254,petrol,"1,141",606,"1,837"
Mercedes,SLK,61.86283333,6.833333333,184.1666667,2748.333333,petrol,"1,151",546,"1,800"
Audi,Quattro,61.235,5,147,2144,petrol,"1,515",169,"1,735"
Renault,4,6.587333333,4,22.33333333,932.6666667,petrol,872,710,"1,712"
BMW,M550i,134.789,8,390,4395,petrol,"1,497",156,"1,699"
Renault,Fuego,13.2218,4.6,70.2,1736.2,petrol,"1,254",377,"1,671"
Fiat,Marea,20.1241875,4.875,79.875,1836.875,petrol,"1,248",317,"1,615"
Porsche,Carrera,646.605,6,450,5733,petrol,"1,248",157,"1,454"
Land-Rover,Defender,108.7471951,7.853658537,207.6097561,2304.97561,diesel,"1,186",185,"1,452"
Volkswagen,Derby,7.55925,4,38.75,1137.75,petrol,853,546,"1,437"
Lotus,Esprit,93.42433333,5,233,2995,petrol,"1,251",83,"1,362"
Opel,Monza,32.99,5,132,2969,petrol,"1,182",143,"1,349"
Peugeot,104,7.508333333,4,36.66666667,1099,petrol,720,597,"1,348"
Ford,Transit,31.46033929,6.011904762,93.93452381,2037.27381,diesel,902,333,"1,278"
Lancia,Prisma,13.43333333,4.333333333,67.66666667,1527,petrol,995,236,"1,269"
Daimler,Double,106.82,4,234,5993,petrol,"1,051",110,"1,230"
Opel,Senator,36.166625,4.375,117.625,2849.25,petrol,"1,034",154,"1,208"
Ford,Explorer,76.71,0,336,0,petrol,967,173,"1,195"
Fiat,127,6.239,5,37,1049,petrol,645,520,"1,190"
Audi,200,38.66975,4.3,95.65,2027.9,petrol,"1,001",143,"1,172"
Daimler,4,92.798,4,166,3980,petrol,994,94,"1,136"
Opel,Rekord,16.74091176,4.117647059,71.47058824,2066.176471,petrol,952,158,"1,129"
Mazda,929,15.8783125,4.25,84.4375,2161.625,petrol,898,175,"1,096"
Daewoo,Lanos,13.24516667,4.833333333,66.66666667,1506.5,petrol,685,345,"1,076"
Ford,Fiesta,18.53214286,5.714285714,68.57142857,1166.142857,petrol,737836,782479,1559343
Ford,Escort,16.20874359,4.461538462,63.56410256,1650.205128,petrol,989746,501907,1527071
Ford,Sierra,18.2955625,4.875,70.25,1836.5,petrol,697196,150162,861723
Rover,2000,17.182,5,74,1994,petrol,423581,141003,580367
Volkswagen,Golf,31.24215385,6.164835165,89.46153846,1537.406593,petrol,268499,173409,463804
Nissan,Micra,20.3776087,4.869565217,67.95652174,1279.695652,petrol,173028,236732,424085
Ford,Orion,15.40377778,5,60.11111111,1593.111111,petrol,290137,"94,099",390484
Volkswagen,Polo,18.1925,5.074074074,60.96296296,1408.055556,petrol,153180,174444,341665
Peugeot,205,13.11525,4.75,50.875,1430.75,petrol,160695,167026,341343
BMW,320i,47.84837037,6.444444444,126.1111111,1995.777778,petrol,185091,"66,098",261325
Ford,Granada,18.84548718,4.076923077,87.07692308,2326.358974,petrol,209138,"29,783",242806
Peugeot,405,20.43008333,4.791666667,69.875,1773,petrol,187714,"39,451",233836
Ford,Mondeo,39.97375,1.75,130.25,1998.5,petrol,169645,"33,653",208784
Renault,Clio,22.1,5.615384615,75.57692308,1219.653846,petrol,"82,952",116732,208036
Fiat,Uno,11.28285714,4.285714286,49.28571429,1337.714286,petrol,"91,074","97,082",194094
Peugeot,309,14.350125,4.875,59.5,1642.875,petrol,117076,"55,606",177719
Citroen,AX,10.83275,5,45,1242,petrol,"73,399","96,160",175512
Toyota,Corolla,27.23911864,3.033898305,91.61016949,1677.949153,petrol,102985,"57,338",166315
Peugeot,106,12.35588235,4.647058824,53.88235294,1366.294118,petrol,"60,825","93,285",160505
Honda,Civic,29.942625,4.5,106.225,1480.575,petrol,"80,718","65,782",153462
Nissan,Bluebird,14.4382,4.9,64.2,1891.7,petrol,116178,"25,909",145301
Toyota,Carina,17.44569231,4.692307692,68.26923077,1791.230769,petrol,"99,156","23,223",126927
Peugeot,306,18.64264,4.84,67,1698.64,petrol,"76,406","42,153",124413
Renault,19,16.29053333,4.8,57.86666667,1645.133333,petrol,"81,679","32,711",118033
Citroen,ZX,16.05676923,4.923076923,67,1703.153846,petrol,"68,381","30,517",103494
Volvo,440,20.27896296,4.111111111,72.85185185,1832.888889,petrol,"70,062","26,845",101633
BMW,535i,93.71425,8,225,2979,petrol,"81,009","15,010","99,587"
Mazda,323,17.34364706,4.745098039,70.92156863,1683.607843,petrol,"57,631","38,240","99,424"
Honda,Accord,39.39984314,5.784313725,117.7058824,2151.647059,petrol,"72,661","20,571","97,516"
Volkswagen,Passat,46.06451282,6.487179487,125.4358974,1835.846154,petrol,"69,434","17,473","90,819"
Audi,80,27.09825,4.666666667,91.75,2247.333333,petrol,"68,155","15,799","87,115"
Nissan,Primera,26.51269565,4.02173913,93.58695652,1933.021739,petrol,"69,041","15,333","87,092"
Renault,21,20.35378947,4.789473684,67.68421053,1996.684211,petrol,"66,985","17,164","86,851"
Fiat,Panda,10.42388889,5,52.44444444,1095.777778,petrol,"34,228","48,565","85,624"
Mazda,626,20.7195,4.71875,81.375,1950.90625,petrol,"55,754","12,287","70,017"
Land-Rover,Discovery,107.4521429,8,182.5714286,2425.428571,diesel,"48,341","10,983","62,051"
